tempo,largura
9.584,1.00277
9.592,0.998142
9.6,1.00087
9.608,1.00224
9.616,0.996608
9.624,1.00579
9.632,0.995242
9.64,0.995745
9.648,1.00622
9.656,0.996057
9.664,1.00342
9.672,1.00087
9.68,0.994379
9.688,1.00466
9.696,0.996944
9.704,1.00253
9.712,1.00133
9.72,0.996608
9.728,1.00416
9.736,0.999724
9.744,1.00061
9.752,1.00342
9.76,0.990544
9.768,1.00622
9.776,1.00253
9.784,0.996608
9.792,1.00224
9.8,1.00037
9.808,1.00505
9.816,0.998981
9.824,0.994906
9.832,1.00761
9.84,1.00087
9.848,0.998981
9.856,1.00191
9.864,1.0095
9.872,0.997111
9.88,1.01372
9.888,0.998142
9.896,1.0095
9.904,1.0038
9.912,1.00667
9.92,1.00342
9.928,0.998478
9.936,1.00605
9.944,0.996057
9.952,1.00133
9.96,1.00385
9.968,0.995745
9.976,1.00572
9.984,0.998478
9.992,1.00001
10.0,1.00416
10.008,0.992869
10.016,1.00179
10.024,1.00133
10.032,0.996608
10.04,1.00385
10.048,0.996944
10.056,1.00296
10.064,1.00133
10.072,0.995745
10.08,1.00876
10.088,0.997111
10.096,0.994906
10.104,1.00277
10.112,0.997375
10.12,1.00466
10.128,0.999724
10.136,0.994163
10.144,1.00548
10.152,0.998478
10.16,1.00342
10.168,0.998118
10.176,0.997111
10.184,1.00505
10.192,0.994379
10.2,0.997375
10.208,1.00996
10.216,0.997663
10.224,1.00385
10.232,0.998981
10.24,0.999748
10.248,1.00385
10.256,0.995338
10.264,1.00296
10.272,1.00179
10.28,0.997663
10.288,1.00385
10.296,0.996512
10.304,1.00061
10.312,1.00296
10.32,0.993876
10.328,1.00548
10.336,1.00061
10.344,0.999724
10.352,1.00416
10.36,0.996944
10.368,1.00296
10.376,0.999724
10.384,0.99203
10.392,1.00548
10.4,1.00133
10.408,1.00133
10.416,1.00342
10.424,0.995242
10.432,1.00622
10.44,0.99855
10.448,0.99203
10.456,1.00296
10.464,0.996057
10.472,1.00133
10.48,1.0009
10.488,0.996057
10.496,1.00224
10.504,0.996944
10.512,1.00133
10.52,1.00416
10.528,0.994906
10.536,1.00416
10.544,0.999293
10.552,0.999724
10.56,1.00133
10.568,0.995769
10.576,1.00385
10.584,1.00416
10.592,0.993876
10.6,1.00179
10.608,0.994739
10.616,1.00037
10.624,1.0014
10.632,0.994163
10.64,1.00548
10.648,1.00505
10.656,0.995769
10.664,1.00459
10.672,0.994163
10.68,1.00572
10.688,0.998981
10.696,0.997375
10.704,1.00622
10.712,1.0009
10.72,1.00296
10.728,0.999293
10.736,0.994451
10.744,1.00505
10.752,0.996944
10.76,0.995769
10.768,1.00505
10.776,0.99855
10.784,1.00622
10.792,1.00222
10.8,0.995769
10.808,1.0038
10.816,0.996512
10.824,1.00253
10.832,1.00133
10.84,0.995338
10.848,1.00385
10.856,1.01372
10.864,0.989394
10.872,1.01828
10.88,0.982683
10.888,1.00416
10.896,0.998981
10.904,1.01236
10.912,1.00876
10.92,0.999293
10.928,1.00667
10.936,1.00459
10.944,0.996512
10.952,1.00667
10.96,1.00133
10.968,1.00061
10.976,1.00087
10.984,0.993732
10.992,1.00622
11.0,0.997375
11.008,0.99855
11.016,1.00277
11.024,0.997663
11.032,1.0038
11.04,1.00191
11.048,0.994739
11.056,1.00548
11.064,0.995769
